timestamp,loglevel,message
2024-03-06T12:00:00Z,INFO,Application started successfully
2024-03-06T12:01:00Z,INFO,User logged in
2024-03-06T12:02:00Z,ERROR,Database connection failed
2024-03-06T12:03:00Z,WARNING,High memory usage detected
2024-03-06T12:04:00Z,INFO,Request processed successfully
2024-03-06T12:05:00Z,ERROR,Timeout occurred while fetching data
2024-03-06T12:06:00Z,INFO,New user registered
2024-03-06T12:07:00Z,ERROR,Failed to write to log file
2024-03-06T12:08:00Z,WARNING,Disk space running low
2024-03-06T12:09:00Z,INFO,Application shut down
